"(Intercept)","LPS_pg_ml_W0","IL18_pg_ml","TNFalfa_pg_ml_W0","IL10pg_ml_W0","IL6pg_ml_W0","IL8pg_ml_W0","CV_S000","CV_S008","CV_S012","CV_S039","CV_S52","LeucocitosS0","Hb_S0","HematocritoS0","PlaquetasS0","GlucosaS0","Acido_uricoS0","Creatinina_S0","Colesterol_S0","CD4_S0","CD4porcentajeS0","CD8_S0","CD8porcentajeS0","CocCD4_CD8_S0","GlucosaS04","CreatininaS04","AlbuminaS04","TGO_S04","LDH_S04","CD4_S08","CD4porcentajeS08","CD8_S08","CD8porcentajeS08","CocCD4_CD8_S08","CD4_S12","CD4porcentajeS12","CD8_S12","CD8porcentajeS12","CocCD4_CD8_S12","GlucosaS24","UreaS24","Acido_uricoS24","CreatininaS24","Bili_dirS24","TGO_S24","TGP_S24","LDH_S24","Fosf_alcS24","ColesterolS24","TrigliceridosS24","LeucocitosS24","EritrocitosS24","HemoglobinaS24","HematocritoS24","PlaquetasS24","CD4_S24","CD4porcentajeS24","CD8_S24","CocCD4_CD8_S24","CD4_S39","CD4porcentajeS39","CD8_S39","CD8porcentajeS39","CocCD4_CD8_S39","Hepatitis_basal_activa","Age","Days_to_IRIS","LogCV_S0","LogCV_S08","LogCV_S12","LogCV_S39","DeltaCV_S8","DeltaCV_S12","DeltaCD4_S8","DeltaCD4_S12","DeltaCD4_S12minusS8","CD4porcentajeS52","CD8_S52","CD8porcentajeS52","CocCD4_CD8_S52","DeltaCD4W52atleast150","CD4TCabove200_W052","CD4TCabove350_W052","DeltaLogCV_W8","DeltaLogCV_W12","DeltaLogCV_W39"
-13.810247544968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0388100686389501,0,0,0,0,-0.553363163570328,0,0,-0.55945709473884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.592442098238465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4064694308162,0,0,0,8.90632610759156,10.1426682096022,0,0,0,0,0.0455999083731825,0,0,1.7558525263685,0.0798617456799155,0,185.346065461735,55.1778011887496,18.2097605481649,44.4063166445464,0,0,0
-53.2171327031362,0,0,0.790487463158669,0,0,0,0,0.0001690324139635,0,0,0,0,-0.209133725313339,0,-0.0244764521476103,0,0,0,0,-0.646404877132417,0,0,-0.361450985021378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30626213528242,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156977210329611,0,0,34.5510982567895,0,0,0,0,0,0,0,0,4.79548564689839,5.25551056794363,0,0,0,0,0.00437561240348697,0.0196062370457303,0,2.50364099415283,0.0997775999722048,0,230.206638308927,49.5607902160129,16.9899856610125,44.3057589810302,0,0,0
-33.6908191413528,0,0,0.420755674971273,0,0,0,0,0.000479004617015348,0,0,0,0,0,0,-0.0130951482225123,0,0,0,0,-0.611944202790345,0,0,-0.462095205811317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59896782692912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4833910900481,0,0,0,0,0,0,0,0,5.12130779452964,3.37566976565955,0,0,0,0,0.00789235883038104,0.0229312252809448,0,2.1283776423303,0.097032335141106,0,224.522215112154,48.515142145171,22.0150120354782,45.1381727641212,0,0,0
-65.9773321163603,0,0,2.10300614215815,-1.22091450795606,0,0,0,0.000914857951216306,0,0.0298570872377051,-0.0571543962036126,0,-1.60749740783396,0,-0.0265510098620603,0,0,0,0,-0.615289590420731,0,-0.0181620620511919,-0.00719660313812734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133805439740598,0.203599304465474,3.5847624159512,0,0,0,0,0,0,-0.0038116813613382,0,0,0,0,0,0,0,0.131023375527748,0,20.6475911300481,0,0,0,0,0,0,0,0,4.62263550758494,0,0,0,0,0,0.0141347479184069,0.0465658515730124,0,2.46405856034478,0.110537187241803,0,270.587963890124,41.0846143687419,20.442862113867,43.3265834521535,0,0,0
-42.9455619953593,0,0,0.226793562722403,0,0,0,0,0.000702988223635725,0,0,-0.015435919885246,0,0,0,-0.0349450370885016,0,0,0,0,-0.656521056012832,0,0,-0.470773289137724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18732837796448,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509767664792922,0,0,84.3557527613431,0,0,0,0,0,0,0,0,7.00160041457329,2.73191599940708,0,0,0,0,0.00822467381591131,0,0,2.45707785760282,0.0943398300241827,0,187.280100893446,50.0913331420473,12.4942539925219,49.5925370567147,0,0,0
-52.3916508079055,0,0,0.516682692597894,-0.188095139745512,0,0,0,7.27475555547986e-06,0,0,0,0,0,0,-0.00573690159673691,0,0,0,0,-0.492478320760041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.84250993323582,2.01678574312361,9.77128161295249,0,0,0,0.0888178085609719,0.0235349047616755,0,0.692910821127439,0.0562899575011991,0,259.663893226458,55.4938751061719,21.4691645125633,28.1900682692512,0,0,0
-31.5566944919629,0,0,0.897788591083186,-0.172569050257189,0,0,0,0.000315822831790935,0.00201892354857432,0,0,0,-0.260102448116443,0,-0.0406742213004524,0,0,0,0,-0.633259783297511,0,-0.00501053260267727,-0.223413769374459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21377045307813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543080006056551,0,0,0,0,0,0,0,0,0,0,3.47815494216198,0,0,0,0,0,0.022919998938074,0.027898808203926,0,1.69023258751425,0.0936815866513978,0,260.683203894513,49.8373683538754,20.7749503047102,44.1133057931585,0,0,0
26.6242756900276,0,0,0,0,0,0,0,6.48040745118418e-07,0,0,0,0,0,0,0,0,0,0,0,-0.337024193503229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.25761221269007,0,1.90502768409573,0,0,0,0.113677931315043,0,0,0,0.0233424107225397,0,166.398763436071,69.7712673066718,12.309321480887,34.5471613672289,0,0,0
-37.9395195425103,0,0,0.523022232476657,0,0,0,0,0.000347369084656321,0,0,0,0,0,0,-0.0227380757929259,0,0,0,0,-0.628562479170564,0,0,-0.433168746225263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5477101067963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364161093445282,0,19.4897166001861,0,0,0,0,0,0,0,0,5.26979977323009,3.87950889674686,0,0,0,0,0.0113140463678397,0.0247391893534841,0,2.08328559018781,0.0976725567325734,0,240.494563756181,50.5611362210522,18.2957347710357,44.354586024645,0,0,0
-3.36480532396996,0,0,1.45554519479673,-1.21361592984,0,0,0,0.000765643805370138,0,0,0,0,-1.89551044043545,0,-0.0245762721916909,0,0,0,0,-0.605004224789261,0,-0.0107213677883917,-0.0140705996997392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155184073901906,4.58683358954301,0,0,0,0,0,0,-0.00624225307059173,0,0,0,0,0,0,0.00189701707989427,0.0338118770451924,0,0,0,0,0,0,14.8663791348326,0,0,0,0,0,0,0,0,0,0.0339438027432917,0.0243506156925936,0,1.62486778717307,0.09404245408885,0,257.682443729486,49.5242875627119,16.6632877982017,48.6510371690077,0,0,0
